time,bvp
1634885786007,-3.8
1634885786022,-9.0
1634885786038,-14.33
1634885786054,-19.31
1634885786069,-23.5
1634885786085,-26.68
1634885786100,-28.93
1634885786116,-30.59
1634885786132,-32.14
1634885786147,-34.07
1634885786163,-36.73
1634885786179,-40.31
1634885786194,-44.75
1634885786210,-49.72
1634885786225,-54.57
1634885786241,-58.42
1634885786257,-60.31
1634885786272,-59.39
1634885786288,-55.19
1634885786304,-47.77
1634885786319,-37.64
1634885786335,-25.55
1634885786350,-12.23
1634885786366,1.8
1634885786382,16.16
1634885786397,30.42
1634885786413,43.97
1634885786429,56.03
1634885786444,65.78
1634885786460,72.73
1634885786475,76.9
1634885786491,78.79
1634885786507,79.15
1634885786522,78.67
1634885786538,77.77
1634885786554,76.49
1634885786569,74.65
1634885786585,72.04
1634885786600,68.52
1634885786616,64.22
1634885786632,59.39
1634885786647,54.41
1634885786663,49.59
1634885786679,45.1
1634885786694,40.88
1634885786710,36.65
1634885786725,32.0
1634885786741,26.46
1634885786757,19.65
1634885786772,11.38
1634885786788,1.88
1634885786804,-8.15
1634885786819,-17.49
1634885786835,-24.59
1634885786850,-28.03
1634885786866,-26.92
1634885786882,-21.32
1634885786897,-12.24
1634885786913,-1.28
1634885786929,9.91
1634885786944,20.11
1634885786960,28.77
1634885786975,35.88
1634885786991,41.63
1634885787007,46.09
1634885787022,49.16
1634885787038,50.71
1634885787054,50.83
1634885787069,49.87
1634885787085,48.46
1634885787100,47.17
1634885787116,46.28
1634885787132,45.62
1634885787147,44.64
1634885787163,42.73
1634885787179,39.52
1634885787194,35.16
1634885787210,30.27
1634885787225,25.63
1634885787241,21.78
1634885787257,18.76
1634885787272,15.97
1634885787288,12.54
1634885787304,7.65
1634885787319,0.84
1634885787335,-7.84
1634885787350,-17.9
1634885787366,-28.6
1634885787382,-39.03
1634885787397,-48.15
1634885787413,-54.86
1634885787429,-58.16
1634885787444,-57.36
1634885787460,-52.41
1634885787475,-43.91
1634885787491,-33.0
1634885787507,-20.98
1634885787522,-9.0
1634885787538,2.23
1634885787554,12.44
1634885787569,21.69
1634885787585,30.1
1634885787600,37.72
1634885787616,44.4
1634885787632,49.87
1634885787647,53.89
1634885787663,56.4
1634885787679,57.65
1634885787694,58.13
1634885787710,58.32
1634885787725,58.5
1634885787741,58.6
1634885787757,58.23
1634885787772,56.91
1634885787788,54.34
1634885787804,50.51
1634885787819,45.7
1634885787835,40.33
1634885787850,34.75
1634885787866,29.06
1634885787882,23.17
1634885787897,16.74
1634885787913,9.37
1634885787929,0.7
1634885787944,-9.36
1634885787960,-20.46
1634885787975,-31.69
1634885787991,-41.72
1634885788007,-49.11
1634885788022,-52.8
1634885788038,-52.43
1634885788054,-48.43
1634885788069,-41.83
1634885788085,-33.8
1634885788100,-25.32
1634885788116,-17.07
1634885788132,-9.47
1634885788147,-2.9
1634885788163,2.33
1634885788179,6.01
1634885788194,8.2
1634885788210,9.29
1634885788225,9.93
1634885788241,10.85
1634885788257,12.65
1634885788272,15.61
1634885788288,19.6
1634885788304,24.13
1634885788319,28.53
1634885788335,32.25
1634885788350,34.99
1634885788366,36.82
1634885788382,38.02
1634885788397,38.82
1634885788413,39.24
1634885788429,39.13
1634885788444,38.33
1634885788460,36.85
1634885788475,34.89
1634885788491,32.6
1634885788507,29.94
1634885788522,26.73
1634885788538,22.93
1634885788554,18.91
1634885788569,15.4
1634885788585,13.13
1634885788601,12.49
1634885788616,13.3
1634885788632,15.01
1634885788647,17.16
1634885788663,19.55
1634885788679,22.25
1634885788694,25.21
1634885788710,28.0
1634885788726,29.86
1634885788741,30.12
1634885788757,28.68
1634885788772,26.21
1634885788788,23.89
1634885788804,22.82
1634885788819,23.48
1634885788835,25.52
1634885788851,27.96
1634885788866,29.63
1634885788882,29.67
1634885788897,27.8
1634885788913,24.37
1634885788929,20.21
1634885788944,16.31
1634885788960,13.53
1634885788976,12.38
1634885788991,12.9
1634885789007,14.7
1634885789022,17.14
1634885789038,19.48
1634885789054,21.04
1634885789069,21.33
1634885789085,20.21
1634885789101,17.97
1634885789116,15.28
1634885789132,13.08
1634885789147,12.29
1634885789163,13.54
1634885789179,16.96
1634885789194,22.22
1634885789210,28.69
1634885789226,35.71
1634885789241,42.78
1634885789257,49.5
1634885789272,55.5
1634885789288,60.23
1634885789304,63.12
1634885789319,63.8
1634885789335,62.43
1634885789351,59.91
1634885789366,57.68
1634885789382,57.12
1634885789397,58.95
1634885789413,62.74
1634885789429,67.08
1634885789444,70.22
1634885789460,71.05
1634885789476,69.66
1634885789491,67.35
1634885789507,65.81
1634885789522,66.16
1634885789538,68.29
1634885789554,70.87
1634885789569,72.11
1634885789585,70.6
1634885789601,65.97
1634885789616,58.9
1634885789632,50.69
1634885789647,42.7
1634885789663,35.99
1634885789679,31.1
1634885789694,27.91
1634885789710,25.36
1634885789726,21.11
1634885789741,11.59
1634885789757,-7.04
1634885789772,-37.24
1634885789788,-78.36
1634885789804,-125.81
1634885789819,-171.99
1634885789835,-208.79
1634885789851,-230.55
1634885789866,-236.11
1634885789882,-228.94
1634885789897,-215.18
1634885789913,-200.76
1634885789929,-188.91
1634885789944,-179.45
1634885789960,-169.9
1634885789976,-157.55
1634885789991,-141.17
1634885790007,-121.43
1634885790022,-100.07
1634885790038,-78.55
1634885790054,-57.39
1634885790069,-36.39
1634885790085,-15.46
1634885790101,4.6
1634885790116,21.96
1634885790132,34.56
1634885790147,41.1
1634885790163,41.98
1634885790179,39.29
1634885790194,36.09
1634885790210,35.23
1634885790226,38.37
1634885790241,45.4
1634885790257,54.77
1634885790272,64.29
1634885790288,72.02
1634885790304,77.06
1634885790319,79.77
1634885790335,81.48
1634885790351,83.73
1634885790366,87.47
1634885790382,92.71
1634885790397,98.6
1634885790413,103.92
1634885790429,107.7
1634885790444,109.46
1634885790460,109.22
1634885790476,107.26
1634885790491,103.86
1634885790507,99.1
1634885790522,92.85
1634885790538,84.88
1634885790554,75.15
1634885790569,63.98
1634885790585,52.06
1634885790601,40.3
1634885790616,29.43
1634885790632,19.74
1634885790647,10.96
1634885790663,2.5
1634885790679,-6.17
1634885790694,-15.28
1634885790710,-24.53
1634885790726,-33.24
1634885790741,-40.63
1634885790757,-46.05
1634885790772,-49.25
1634885790788,-50.34
1634885790804,-49.7
1634885790819,-47.76
1634885790835,-44.91
1634885790851,-41.37
1634885790866,-37.26
1634885790882,-32.7
1634885790897,-27.95
1634885790913,-23.45
1634885790929,-19.82
1634885790944,-17.51
1634885790960,-16.67
1634885790976,-16.97
1634885790991,-17.73
1634885791007,-18.17
1634885791022,-17.7
1634885791038,-16.13
1634885791054,-13.72
1634885791069,-11.03
1634885791085,-8.67
1634885791101,-7.18
1634885791116,-6.77
1634885791132,-7.33
1634885791147,-8.48
1634885791163,-9.79
1634885791179,-10.93
1634885791194,-11.82
1634885791210,-12.6
1634885791226,-13.46
1634885791241,-14.43
1634885791257,-15.32
1634885791272,-15.84
1634885791288,-15.88
1634885791304,-15.64
1634885791319,-15.58
1634885791335,-16.09
1634885791351,-17.22
1634885791366,-18.56
1634885791382,-19.52
1634885791397,-19.82
1634885791413,-19.72
1634885791429,-19.97
1634885791444,-21.31
1634885791460,-23.97
1634885791476,-27.37
1634885791491,-30.41
1634885791507,-32.0
1634885791522,-31.62
1634885791538,-29.63
1634885791554,-26.95
1634885791569,-24.6
1634885791585,-23.14
1634885791601,-22.55
1634885791616,-22.32
1634885791632,-21.89
1634885791647,-20.98
1634885791663,-19.77
1634885791679,-18.79
1634885791694,-18.69
1634885791710,-19.97
1634885791726,-22.78
1634885791741,-26.88
1634885791757,-31.65
1634885791772,-36.17
1634885791788,-39.42
1634885791804,-40.47
1634885791819,-38.74
1634885791835,-34.23
1634885791851,-27.61
1634885791866,-20.22
1634885791882,-13.75
1634885791897,-9.74
1634885791913,-9.07
1634885791929,-11.61
1634885791944,-16.36
1634885791960,-21.89
1634885791976,-26.92
1634885791991,-30.72
1634885792007,-33.17
1634885792022,-34.47
1634885792038,-34.75
1634885792054,-33.88
1634885792069,-31.59
1634885792085,-27.81
1634885792101,-22.96
1634885792116,-17.95
1634885792132,-13.82
1634885792147,-11.26
1634885792163,-10.28
1634885792179,-10.34
1634885792194,-10.79
1634885792210,-11.3
1634885792226,-12.08
1634885792241,-13.59
1634885792257,-16.12
1634885792272,-19.35
1634885792288,-22.38
1634885792304,-23.96
1634885792319,-23.14
1634885792335,-19.59
1634885792351,-13.79
1634885792366,-6.74
1634885792382,0.38
1634885792397,6.64
1634885792413,11.46
1634885792429,14.68
1634885792444,16.29
1634885792460,16.42
1634885792476,15.31
1634885792491,13.44
1634885792507,11.6
1634885792522,10.65
1634885792538,11.25
1634885792554,13.33
1634885792569,16.07
1634885792585,18.23
1634885792601,18.82
1634885792616,17.74
1634885792632,15.84
1634885792647,14.44
1634885792663,14.51
1634885792679,16.14
1634885792694,18.65
1634885792710,21.29
1634885792726,23.81
1634885792741,26.7
1634885792757,30.59
1634885792772,35.5
1634885792788,40.44
1634885792804,43.87
1634885792819,44.67
1634885792835,43.08
1634885792851,40.8
1634885792866,40.27
1634885792882,43.32
1634885792897,50.19
1634885792913,59.37
1634885792929,68.31
1634885792944,74.56
1634885792960,76.74
1634885792976,74.93
1634885792991,70.43
1634885793007,65.21
1634885793022,61.2
1634885793038,59.76
1634885793054,61.44
1634885793069,66.01
1634885793085,72.67
1634885793101,80.44
1634885793116,88.37
1634885793132,95.67
1634885793147,101.67
1634885793163,105.77
1634885793179,107.52
1634885793194,106.76
1634885793210,103.78
1634885793226,99.34
1634885793241,94.54
1634885793257,90.47
1634885793272,87.85
1634885793288,86.87
1634885793304,87.2
1634885793319,88.2
1634885793335,89.27
1634885793351,90.09
1634885793366,90.7
1634885793382,91.44
1634885793397,92.7
1634885793413,94.56
1634885793429,96.57
1634885793444,97.83
1634885793460,97.33
1634885793476,94.4
1634885793491,88.91
1634885793507,81.15
1634885793522,71.53
1634885793538,60.2
1634885793554,46.96
1634885793569,31.5
1634885793585,13.72
1634885793601,-6.03
1634885793616,-26.97
1634885793632,-48.09
1634885793647,-68.38
1634885793663,-86.95
1634885793679,-103.01
1634885793694,-115.91
1634885793710,-125.24
1634885793726,-131.0
1634885793741,-133.62
1634885793757,-133.97
1634885793772,-133.0
1634885793788,-131.45
1634885793804,-129.49
1634885793819,-126.68
1634885793835,-122.11
1634885793851,-114.77
1634885793866,-103.99
1634885793882,-89.79
1634885793897,-73.02
1634885793913,-55.23
1634885793929,-38.26
1634885793944,-23.69
1634885793960,-12.45
1634885793976,-4.65
1634885793991,0.21
1634885794007,2.91
1634885794022,4.12
1634885794038,4.26
1634885794054,3.57
1634885794069,2.34
1634885794085,1.13
1634885794101,0.72
1634885794116,1.91
1634885794132,5.12
1634885794147,10.13
1634885794163,16.04
1634885794179,21.51
1634885794194,25.21
1634885794210,26.16
1634885794226,24.11
1634885794241,19.53
1634885794257,13.55
1634885794272,7.68
1634885794288,3.54
1634885794304,2.48
1634885794319,5.14
1634885794335,10.99
1634885794351,18.27
1634885794366,24.25
1634885794382,26.1
1634885794397,21.85
1634885794413,11.2
1634885794429,-4.36
1634885794444,-22.1
1634885794460,-39.08
1634885794476,-53.13
1634885794491,-63.36
1634885794507,-69.99
1634885794522,-73.82
1634885794538,-75.56
1634885794554,-75.53
1634885794569,-73.74
1634885794585,-70.21
1634885794601,-65.31
1634885794616,-59.84
1634885794632,-54.97
1634885794647,-51.91
1634885794663,-51.66
1634885794679,-54.79
1634885794694,-61.23
1634885794710,-70.25
1634885794726,-80.57
1634885794741,-90.57
1634885794757,-98.59
1634885794772,-103.29
1634885794788,-103.8
1634885794804,-99.84
1634885794819,-91.72
1634885794835,-80.26
1634885794851,-66.72
1634885794866,-52.7
1634885794882,-39.88
1634885794897,-29.64
1634885794913,-22.73
1634885794929,-19.05
1634885794944,-17.68
1634885794960,-17.26
1634885794976,-16.46
1634885794991,-14.44
1634885795007,-11.14
1634885795022,-7.29
1634885795038,-4.08
1634885795054,-2.8
1634885795069,-4.39
1634885795085,-9.19
1634885795101,-16.87
1634885795116,-26.52
1634885795132,-36.88
1634885795147,-46.63
1634885795163,-54.53
1634885795179,-59.78
1634885795194,-62.14
1634885795210,-62.08
1634885795226,-60.69
1634885795241,-59.33
1634885795257,-59.23
1634885795272,-60.94
1634885795288,-64.15
1634885795304,-67.82
1634885795319,-70.63
1634885795335,-71.59
1634885795351,-70.34
1634885795366,-67.22
1634885795382,-62.92
1634885795397,-58.04
1634885795413,-52.77
1634885795429,-46.85
1634885795444,-39.85
1634885795460,-31.55
1634885795476,-22.3
1634885795491,-13.04
1634885795507,-5.09
1634885795522,0.29
1634885795538,2.33
1634885795554,0.92
1634885795569,-3.54
1634885795585,-10.41
1634885795601,-19.05
1634885795616,-28.94
1634885795632,-39.48
1634885795647,-49.85
1634885795663,-58.95
1634885795679,-65.68
1634885795694,-69.26
1634885795710,-69.4
1634885795726,-66.12
1634885795741,-59.43
1634885795757,-49.14
1634885795772,-35.04
1634885795788,-17.46
1634885795804,2.45
1634885795819,22.82
1634885795835,41.77
1634885795851,58.18
1634885795866,71.93
1634885795882,83.56
1634885795897,93.46
1634885795913,101.37
1634885795929,106.53
1634885795944,108.38
1634885795960,107.21
1634885795976,104.26
1634885795991,101.05
1634885796007,98.56
1634885796022,96.74
1634885796038,94.79
1634885796054,91.88
1634885796069,87.79
1634885796085,82.91
1634885796101,77.92
1634885796116,73.24
1634885796132,68.97
1634885796147,65.0
1634885796163,61.39
1634885796179,58.47
1634885796194,56.61
1634885796210,56.01
1634885796226,56.41
1634885796241,57.25
1634885796257,57.86
1634885796272,57.76
1634885796288,56.75
1634885796304,54.93
