time,eda
1634885786220,0.08201
1634885786470,0.083292
1634885786720,0.085854
1634885786970,0.084573
1634885787220,0.084573
1634885787470,0.085854
1634885787720,0.08201
1634885787970,0.08201
1634885788220,0.080729
1634885788470,0.08201
1634885788721,0.084573
1634885788971,0.084573
1634885789221,0.085854
1634885789471,0.085854
1634885789721,0.080729
1634885789971,0.079447
1634885790221,0.080729
1634885790471,0.083292
1634885790721,0.084573
1634885790971,0.08201
1634885791221,0.083292
1634885791471,0.078166
1634885791721,0.080729
1634885791971,0.080729
1634885792221,0.083292
1634885792471,0.085854
1634885792721,0.087136
1634885792971,0.084573
1634885793221,0.084573
1634885793471,0.080729
1634885793721,0.080729
1634885793971,0.080729
1634885794221,0.083292
1634885794471,0.08201
1634885794721,0.083292
1634885794971,0.084573
1634885795221,0.080729
1634885795471,0.08201
1634885795721,0.083292
1634885795971,0.083292
1634885796221,0.087136
1634885796471,0.085854
1634885796721,0.087136
1634885796972,0.084573
1634885797222,0.080729
1634885797472,0.083292
1634885797722,0.080729
1634885797972,0.084573
1634885798222,0.084573
1634885798472,0.088417
1634885798722,0.087136
1634885798972,0.083292
1634885799222,0.085854
1634885799472,0.084573
1634885799722,0.083292
1634885799972,0.08201
1634885800222,0.083292
1634885800472,0.083292
1634885800722,0.085854
1634885800972,0.085854
1634885801222,0.08201
1634885801472,0.080729
1634885801722,0.08201
1634885801972,0.084573
1634885802222,0.083292
1634885802472,0.084573
1634885802722,0.085854
1634885802972,0.08201
1634885803222,0.08201
1634885803472,0.083292
1634885803722,0.084573
1634885803972,0.087136
1634885804222,0.08201
1634885804472,0.084573
1634885804722,0.085854
1634885804972,0.079447
1634885805223,0.083292
1634885805473,0.080729
1634885805723,0.083292
1634885805973,0.085854
1634885806223,0.087136
1634885806473,0.085854
1634885806723,0.087136
1634885806973,0.080729
1634885807223,0.080729
1634885807473,0.087136
1634885807723,0.085854
1634885807973,0.088417
1634885808223,0.087136
1634885808473,0.089699
1634885808723,0.088417
1634885808973,0.085854
1634885809223,0.083292
1634885809473,0.083292
1634885809723,0.083292
1634885809973,0.085854
1634885810223,0.085854
1634885810473,0.084573
1634885810723,0.083292
1634885810973,0.076885
1634885811223,0.080729
1634885811473,0.08201
1634885811723,0.085854
1634885811973,0.084573
1634885812223,0.087136
1634885812473,0.085854
1634885812723,0.084573
1634885812973,0.084573
1634885813223,0.084573
1634885813473,0.088417
1634885813724,0.087136
1634885813974,0.088417
1634885814224,0.089699
1634885814474,0.087136
1634885814724,0.084573
1634885814974,0.087136
1634885815224,0.084573
1634885815474,0.088417
1634885815724,0.088417
1634885815974,0.088417
1634885816224,0.09098
1634885816474,0.088417
1634885816724,0.089699
1634885816974,0.088417
1634885817224,0.09098
1634885817474,0.08201
1634885817724,0.088417
1634885817974,0.080729
1634885818224,0.088417
1634885818474,0.083292
1634885818724,0.084573
1634885818974,0.083292
1634885819224,0.087136
1634885819474,0.088417
1634885819724,0.089699
1634885819974,0.089699
1634885820224,0.089699
1634885820474,0.084573
1634885820724,0.084573
1634885820974,0.084573
1634885821224,0.089699
1634885821474,0.08201
1634885821724,0.078166
1634885821975,0.087136
1634885822225,0.083292
1634885822475,0.083292
1634885822725,0.085854
1634885822975,0.088417
1634885823225,0.088417
1634885823475,0.089699
1634885823725,0.089699
1634885823975,0.085854
1634885824225,0.085854
1634885824475,0.084573
1634885824725,0.087136
1634885824975,0.089699
1634885825225,0.088417
1634885825475,0.088417
1634885825725,0.088417
1634885825975,0.084573
1634885826225,0.085854
1634885826475,0.088417
1634885826725,0.089699
1634885826975,0.085854
1634885827225,0.089699
1634885827475,0.092261
1634885827725,0.085854
1634885827975,0.085854
1634885828225,0.085854
1634885828475,0.085854
1634885828725,0.089699
1634885828975,0.092261
1634885829225,0.088417
1634885829475,0.087136
1634885829725,0.083292
1634885829975,0.083292
1634885830226,0.084573
1634885830476,0.088417
1634885830726,0.088417
1634885830976,0.088417
1634885831226,0.088417
1634885831476,0.085854
1634885831726,0.087136
1634885831976,0.085854
1634885832226,0.09098
1634885832476,0.09098
1634885832726,0.089699
1634885832976,0.09098
1634885833226,0.087136
1634885833476,0.088417
1634885833726,0.088417
1634885833976,0.088417
1634885834226,0.092261
1634885834476,0.09098
1634885834726,0.089699
1634885834976,0.089699
1634885835226,0.087136
1634885835476,0.09098
1634885835726,0.089699
1634885835976,0.093543
1634885836226,0.084573
1634885836476,0.088417
1634885836726,0.09098
1634885836976,0.085854
1634885837226,0.085854
1634885837476,0.087136
1634885837726,0.089699
1634885837976,0.088417
1634885838226,0.089699
1634885838477,0.09098
1634885838727,0.085854
1634885838977,0.087136
1634885839227,0.088417
1634885839477,0.088417
1634885839727,0.087136
1634885839977,0.089699
1634885840227,0.092261
1634885840477,0.089699
1634885840727,0.085854
1634885840977,0.084573
1634885841227,0.087136
1634885841477,0.089699
1634885841727,0.089699
1634885841977,0.089699
1634885842227,0.085854
1634885842477,0.085854
1634885842727,0.087136
1634885842977,0.088417
1634885843227,0.092261
1634885843477,0.088417
1634885843727,0.089699
1634885843977,0.084573
1634885844227,0.085854
1634885844477,0.083292
1634885844727,0.080729
1634885844977,0.087136
1634885845227,0.088417
1634885845477,0.089699
1634885845727,0.085854
1634885845977,0.084573
1634885846227,0.087136
1634885846477,0.092261
1634885846727,0.092261
1634885846978,0.093543
1634885847228,0.094824
1634885847478,0.089699
1634885847728,0.09098
1634885847978,0.09098
1634885848228,0.093543
1634885848478,0.092261
1634885848728,0.089699
1634885848978,0.09098
1634885849228,0.085854
1634885849478,0.085854
1634885849728,0.085854
1634885849978,0.088417
1634885850228,0.09098
1634885850478,0.09098
1634885850728,0.093543
1634885850978,0.089699
1634885851228,0.089699
1634885851478,0.089699
1634885851728,0.094824
1634885851978,0.092261
1634885852228,0.093543
1634885852478,0.092261
1634885852728,0.089699
