uuid,user,session,id,category,event,start,end,tag
out:3fdda14e-09c0-5a06-bfbc-6ed756a24c43,U0209,S0500,Ex07,Additional,Lift Up Box,2022-03-29 14:26:12.784000+09:00,2022-03-29 14:26:14.026000+09:00,
out:e72c17a7-2416-5d27-90d7-597a94f74f29,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:27:44.169000+09:00,2022-03-29 14:27:47.522000+09:00,HT
out:d66ecc06-df26-534e-b35f-61c1b6c39eec,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:27:59.198000+09:00,2022-03-29 14:27:59.656000+09:00,0801*1003
out:83ab9271-049f-5a85-ae78-47c4cb95fe57,U0209,S0500,Ex07,Additional,Lift Up Box,2022-03-29 14:29:07.219000+09:00,2022-03-29 14:29:09.312000+09:00,
out:f6831e92-81da-5aad-9a0b-3a7351cc858e,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:29:32.179000+09:00,2022-03-29 14:29:32.531000+09:00,0801*1003
out:a787e5d1-c16c-50cc-a723-8ad576784b89,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:29:51.515000+09:00,2022-03-29 14:29:52.300000+09:00,
out:9c553799-7629-573a-8a5b-41d427963b93,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:30:19.426000+09:00,2022-03-29 14:30:20.982000+09:00,HT
out:1e83978c-3750-52fd-ad79-d6d7f5a55a9a,U0209,S0500,Bx03,Struggling,Label,2022-03-29 14:30:50.837000+09:00,2022-03-29 14:30:53.423000+09:00,Item
out:e506df10-8fab-5c7e-83eb-36ed969bc1a4,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:31:29.671000+09:00,2022-03-29 14:31:30.112000+09:00,
out:eaae4e97-2fc4-52d1-8c25-6c5ac90eb673,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:31:35.960000+09:00,2022-03-29 14:31:38.630000+09:00,HT
out:0e83e9cb-cf1b-55f6-9b46-7fcb458785bc,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:31:53.842000+09:00,2022-03-29 14:31:54.357000+09:00,0801*1003
out:b3b821b5-5c77-5244-b4d0-75759e70cc98,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:32:38.946000+09:00,2022-03-29 14:32:39.461000+09:00,
out:e4af5050-05b9-5018-bc2b-4adecead5a79,U0209,S0500,Dx03,Parallel,Action&Additional,2022-03-29 14:32:47.408000+09:00,2022-03-29 14:32:48.290000+09:00,1003*G06
out:1cf0bb40-d2da-5d80-94cf-bf8881adf637,U0209,S0500,Cx04,Confused,Process,2022-03-29 14:32:58.628000+09:00,2022-03-29 14:32:59.254000+09:00,
out:e578b635-7a70-5fbd-a130-9fb0563c74b4,U0209,S0500,Cx04,Confused,Process,2022-03-29 14:33:02.344000+09:00,2022-03-29 14:33:04.073000+09:00,
out:6ab462c0-61a3-5fb9-b98a-110620a816c0,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:33:43.287000+09:00,2022-03-29 14:33:44.792000+09:00,LP
out:13dd5a7c-9022-5bf0-9673-f60f575cfb2e,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:33:49.437000+09:00,2022-03-29 14:33:50.998000+09:00,0801*1003
out:8f536df6-eff6-570b-9f6e-50c862b25bc9,U0209,S0500,Aa02,Incident,Miss,2022-03-29 14:34:29.673000+09:00,2022-03-29 14:34:32.741000+09:00,HIGH
out:f5594120-7547-5be8-bd46-e6d3550694e3,U0209,S0500,Ac01,Recovery,Others,2022-03-29 14:34:32.755000+09:00,2022-03-29 14:34:34.147000+09:00,HIGH
out:27256883-8d29-5998-bf5c-328b1bb93375,U0209,S0500,Bx07,Struggling,Tape,2022-03-29 14:34:39.913000+09:00,2022-03-29 14:34:44.140000+09:00,
