unixtime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1648531521000,0.4012,-0.9117,0.092,0.42,2.07,-0.79,0.6406,0.6718,-0.0625,-0.3593
1648531521030,0.4138,-0.9173,0.0764,0.42,1.34,-0.24,0.6406,0.6718,-0.0625,-0.3593
1648531521060,0.4232,-0.924,0.077,0.18,2.25,-0.85,0.6406,0.6718,-0.0625,-0.3593
1648531521090,0.404,-0.9177,0.0832,0.0,2.98,-1.58,0.6406,0.6718,-0.0625,-0.3593
1648531521120,0.3986,-0.9138,0.0908,0.42,1.09,-1.58,0.6406,0.6718,-0.0625,-0.3593
1648531521150,0.3988,-0.9112,0.091,0.48,1.09,-1.21,0.6406,0.6718,-0.0625,-0.3593
1648531521180,0.4002,-0.9216,0.0922,0.54,0.6,-0.48,0.6406,0.6718,-0.0625,-0.3593
1648531521210,0.4116,-0.9211,0.0882,0.6,0.3,-0.48,0.6406,0.6718,-0.0625,-0.3593
1648531521240,0.4133,-0.9182,0.0889,0.73,0.24,-0.91,0.6406,0.6718,-0.0625,-0.3593
1648531521270,0.4106,-0.9129,0.0924,0.73,-0.18,-1.09,0.6406,0.6718,-0.0625,-0.3593
1648531521300,0.4135,-0.9112,0.0892,0.91,-0.3,-0.91,0.6406,0.6718,-0.0625,-0.3593
1648531521330,0.4096,-0.9134,0.0855,0.85,0.18,-0.97,0.6406,0.6718,-0.0625,-0.3593
1648531521360,0.4082,-0.916,0.0855,0.91,0.0,-0.91,0.6406,0.6718,-0.0625,-0.3593
1648531521390,0.41,-0.9157,0.0831,0.6,0.0,-0.67,0.6406,0.6718,-0.0625,-0.3593
1648531521420,0.4113,-0.9138,0.0856,0.42,-0.12,-0.85,0.6406,0.6718,-0.0625,-0.3593
1648531521450,0.4085,-0.9128,0.0921,0.06,0.42,-0.67,0.6406,0.6718,-0.0625,-0.3593
1648531521480,0.4082,-0.914,0.088,0.36,-0.06,-0.6,0.6406,0.6718,-0.0625,-0.3593
1648531521510,0.4095,-0.9128,0.0816,0.24,-0.36,-0.73,0.6406,0.6718,-0.0625,-0.3593
1648531521540,0.408,-0.9093,0.087,-0.36,-0.06,-0.54,0.6406,0.6718,-0.0625,-0.3593
1648531521570,0.4193,-0.919,0.0808,-0.48,-1.03,-0.12,0.6406,0.6718,-0.0625,-0.3593
1648531521600,0.4163,-0.9167,0.0899,-1.15,0.73,-0.54,0.6406,0.6718,-0.0625,-0.3593
1648531521630,0.3992,-0.9119,0.0917,-0.85,-0.42,-1.21,0.6406,0.6718,-0.0625,-0.3593
1648531521660,0.4016,-0.9025,0.0957,0.0,-1.64,-0.36,0.6406,0.6718,-0.0625,-0.3593
1648531521690,0.4194,-0.9134,0.0729,0.3,-1.21,0.3,0.6406,0.6718,-0.0625,-0.3593
1648531521720,0.4265,-0.9285,0.0793,-0.18,0.12,0.0,0.6406,0.6718,-0.0625,-0.3593
1648531521750,0.4896,-0.9472,0.1138,1.03,1.28,-2.86,0.6406,0.6718,-0.0625,-0.3593
1648531521780,0.7578,-1.0039,0.0671,1.64,17.86,-25.6,0.6406,0.6718,-0.0625,-0.3593
1648531521810,1.6235,-1.2117,0.2332,3.96,71.58,-99.32,0.625,0.6562,-0.0468,-0.3906
1648531521840,1.3784,-1.3874,0.4084,-13.53,148.65,-182.68,0.6093,0.6562,-0.0468,-0.4375
1648531521870,0.6826,-1.1821,0.8795,34.26,147.01,-198.65,0.5937,0.625,-0.0312,-0.4843
1648531521900,0.7709,-0.3648,0.2924,70.06,24.32,-230.48,0.5625,0.6093,0.0,-0.5312
1648531521930,0.632,-0.0863,-0.0993,55.24,24.14,-239.32,0.5468,0.5937,0.0468,-0.5781
1648531521960,0.494,0.263,-0.1156,35.06,68.53,-216.4,0.5156,0.5781,0.0781,-0.6093
1648531521990,0.375,0.1381,-0.0689,31.21,131.46,-159.93,0.5,0.5625,0.1093,-0.6562
1648531522020,0.2438,0.0228,0.1578,36.34,169.08,-102.5,0.4843,0.5156,0.1093,-0.6875
1648531522050,0.2858,-0.1127,0.2681,39.08,157.62,-53.53,0.4843,0.4843,0.1093,-0.7187
1648531522080,0.2058,-0.2739,0.4665,31.89,122.68,-14.45,0.4843,0.4531,0.0937,-0.75
1648531522110,0.5242,-0.4174,0.508,31.28,73.47,26.76,0.4843,0.4218,0.0937,-0.75
1648531522140,0.6728,-0.6323,0.6069,15.24,49.32,42.31,0.5,0.4218,0.0781,-0.75
1648531522170,0.6143,-0.7399,0.5626,14.69,60.85,47.62,0.5156,0.4062,0.0625,-0.75
1648531522200,0.4725,-1.022,0.5979,11.4,23.9,44.08,0.5312,0.3906,0.0625,-0.75
1648531522230,1.1541,-1.3348,0.2709,-0.97,-67.62,20.12,0.5312,0.4062,0.0625,-0.7343
1648531522260,1.0264,-1.2941,0.5688,-25.48,103.78,-25.67,0.5312,0.4062,0.0468,-0.7343
1648531522290,0.8029,-1.2219,0.9669,11.95,54.75,-54.2,0.5156,0.3906,0.0312,-0.75
1648531522320,0.1888,-0.7075,1.1239,38.59,-7.25,-22.92,0.5156,0.3906,0.0312,-0.7656
1648531522350,0.6002,-0.4228,0.8828,46.21,-85.54,-17.01,0.5156,0.3906,0.0468,-0.75
1648531522380,0.7901,-0.1271,0.7609,28.29,-95.06,-14.69,0.5156,0.4062,0.0781,-0.75
1648531522410,0.9152,-0.0914,0.7426,31.82,-116.28,-13.78,0.5156,0.4218,0.0937,-0.7343
1648531522440,0.8359,-0.1188,0.6989,32.25,-87.74,-10.0,0.5156,0.4375,0.125,-0.7187
1648531522470,0.8474,-0.2041,0.5092,43.23,-128.35,-17.56,0.5156,0.4531,0.1406,-0.7187
1648531522500,0.8334,-0.2769,0.3386,40.18,-138.84,-17.8,0.5156,0.4687,0.1718,-0.7031
1648531522530,0.6949,-0.2711,0.2938,32.31,-117.68,-9.02,0.5,0.4843,0.2031,-0.6875
1648531522560,0.7307,-0.3211,0.1765,26.58,-172.43,-3.47,0.5,0.5,0.2187,-0.6562
1648531522590,1.1022,-0.4365,0.2777,24.2,-78.78,3.04,0.5,0.5156,0.25,-0.6406
1648531522620,1.1854,-0.4768,-0.1508,13.71,-80.97,-4.63,0.5,0.5312,0.25,-0.625
