time,temp
1648531510238,33.0
1648531510488,33.0
1648531510738,33.0
1648531510988,33.0
1648531511238,33.03
1648531511489,33.03
1648531511739,33.03
1648531511989,33.03
1648531512239,33.0
1648531512489,33.0
1648531512739,33.0
1648531512989,33.0
1648531513239,33.0
1648531513489,33.0
1648531513739,33.0
1648531513989,33.0
1648531514239,33.0
1648531514489,33.0
1648531514739,33.0
1648531514989,33.0
1648531515239,33.03
1648531515489,33.03
1648531515739,33.03
1648531515989,33.03
1648531516239,33.03
1648531516489,33.03
1648531516739,33.03
1648531516989,33.03
1648531517239,33.0
1648531517489,33.0
1648531517739,33.0
1648531517989,33.0
1648531518239,33.07
1648531518489,33.07
1648531518739,33.07
1648531518989,33.07
1648531519239,33.03
1648531519490,33.03
1648531519740,33.03
1648531519990,33.03
1648531520240,33.05
1648531520490,33.05
1648531520740,33.05
1648531520990,33.05
1648531521240,33.03
1648531521490,33.03
1648531521740,33.03
1648531521990,33.03
1648531522240,33.03
1648531522490,33.03
1648531522740,33.03
1648531522990,33.03
1648531523240,33.0
1648531523490,33.0
1648531523740,33.0
1648531523990,33.0
1648531524240,33.09
1648531524490,33.09
1648531524740,33.09
1648531524990,33.09
1648531525240,33.09
1648531525490,33.09
1648531525740,33.09
1648531525990,33.09
1648531526240,33.05
1648531526490,33.05
1648531526740,33.05
1648531526990,33.05
1648531527240,33.13
1648531527490,33.13
1648531527741,33.13
1648531527991,33.13
1648531528241,33.11
1648531528491,33.11
1648531528741,33.11
1648531528991,33.11
1648531529241,33.07
1648531529491,33.07
1648531529741,33.07
1648531529991,33.07
1648531530241,33.0
1648531530491,33.0
1648531530741,33.0
1648531530991,33.0
1648531531241,33.07
1648531531491,33.07
1648531531741,33.07
1648531531991,33.07
1648531532241,33.07
1648531532491,33.07
1648531532741,33.07
1648531532991,33.07
1648531533241,33.07
1648531533491,33.07
1648531533741,33.07
1648531533991,33.07
1648531534241,33.05
1648531534491,33.05
1648531534741,33.05
1648531534991,33.05
1648531535241,33.05
1648531535491,33.05
1648531535742,33.05
1648531535992,33.05
1648531536242,32.97
1648531536492,32.97
1648531536742,32.97
1648531536992,32.97
1648531537242,33.11
1648531537492,33.11
1648531537742,33.11
1648531537992,33.11
1648531538242,33.11
1648531538492,33.11
1648531538742,33.11
1648531538992,33.11
1648531539242,33.03
1648531539492,33.03
1648531539742,33.03
1648531539992,33.03
1648531540242,33.03
1648531540492,33.03
1648531540742,33.03
1648531540992,33.03
1648531541242,33.05
