unixtime,datetime,order_sheet,box,item
1648531583000,2022-03-29 14:26:23+09:00,DEN050001,BOX01,ITEM301
1648531584000,2022-03-29 14:26:24+09:00,DEN050001,BOX01,ITEM315
1648531585000,2022-03-29 14:26:25+09:00,DEN050001,BOX01,ITEM403
1648531585000,2022-03-29 14:26:25+09:00,DEN050001,BOX01,ITEM404
1648531586000,2022-03-29 14:26:26+09:00,DEN050001,BOX01,ITEM405
1648531670000,2022-03-29 14:27:50+09:00,DEN050002,BOX02,ITEM402
1648531757000,2022-03-29 14:29:17+09:00,DEN050003,BOX03,ITEM501
1648531757000,2022-03-29 14:29:17+09:00,DEN050003,BOX03,ITEM502
1648531758000,2022-03-29 14:29:18+09:00,DEN050003,BOX03,ITEM503
1648531759000,2022-03-29 14:29:19+09:00,DEN050003,BOX03,ITEM601
1648531824000,2022-03-29 14:30:24+09:00,DEN050004,BOX04,ITEM203
1648531900000,2022-03-29 14:31:40+09:00,DEN050005,BOX05,ITEM107
1648531901000,2022-03-29 14:31:41+09:00,DEN050005,BOX05,ITEM221
1648531949000,2022-03-29 14:32:29+09:00,DEN050006,BOX06,ITEM219
1648532021000,2022-03-29 14:33:41+09:00,DEN050007,BOX07,ITEM401
1648532098000,2022-03-29 14:34:58+09:00,DEN050008,BOX08,ITEM113
1648532169000,2022-03-29 14:36:09+09:00,DEN050009,BOX09,ITEM602
1648532252000,2022-03-29 14:37:32+09:00,DEN050010,BOX10,ITEM307
1648532311000,2022-03-29 14:38:31+09:00,DEN050011,BOX11,ITEM306
1648532369000,2022-03-29 14:39:29+09:00,DEN050012,BOX12,ITEM314
1648532428000,2022-03-29 14:40:28+09:00,DEN050013,BOX13,ITEM308
1648532496000,2022-03-29 14:41:36+09:00,DEN050014,BOX14,ITEM115
1648532497000,2022-03-29 14:41:37+09:00,DEN050014,BOX14,ITEM208
1648532498000,2022-03-29 14:41:38+09:00,DEN050014,BOX14,ITEM211
1648532582000,2022-03-29 14:43:02+09:00,DEN050015,BOX15,ITEM109
1648532583000,2022-03-29 14:43:03+09:00,DEN050015,BOX15,ITEM204
1648532583000,2022-03-29 14:43:03+09:00,DEN050015,BOX15,ITEM212
1648532584000,2022-03-29 14:43:04+09:00,DEN050015,BOX15,ITEM222
1648532645000,2022-03-29 14:44:05+09:00,DEN050016,BOX16,ITEM230
1648532712000,2022-03-29 14:45:12+09:00,DEN050017,BOX17,ITEM114
1648532794000,2022-03-29 14:46:34+09:00,DEN050018,BOX18,ITEM103
1648532794000,2022-03-29 14:46:34+09:00,DEN050018,BOX18,ITEM302
1648532795000,2022-03-29 14:46:35+09:00,DEN050018,BOX18,ITEM225
1648532856000,2022-03-29 14:47:36+09:00,DEN050019,BOX19,ITEM303
1648532908000,2022-03-29 14:48:28+09:00,DEN050020,BOX20,ITEM406
