unixtime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1634885785026,0.5318,0.7782,0.2276,30.57,58.24,25.24,0.0,0.0,0.0,0.0
1634885785059,0.5589,0.7714,0.2073,29.29,55.59,21.06,0.0,0.0,0.0,0.0
1634885785092,0.568,0.7787,0.18,30.11,56.0,16.35,0.0,0.0,0.0,0.0
1634885785125,0.567,0.8324,0.2005,28.71,50.76,10.72,0.0,0.0,0.0,0.0
1634885785158,0.5946,0.8991,0.211,24.81,47.25,6.14,0.0,0.0,0.0,0.0
1634885785191,0.5704,0.9347,0.2334,22.08,43.91,4.98,0.0,0.0,0.0,0.0
1634885785224,0.5106,0.9152,0.2674,16.61,28.69,8.19,0.0,0.0,0.0,0.0
1634885785257,0.5006,0.9135,0.2857,8.83,16.29,12.98,0.0,0.0,0.0,0.0
1634885785290,0.4459,0.88,0.2986,1.88,-1.58,15.48,0.0,0.0,0.0,0.0
1634885785323,0.4513,0.8239,0.3272,-1.89,-11.43,12.08,0.0,0.0,0.0,0.0
1634885785356,0.4483,0.7777,0.3257,-4.26,-12.04,6.28,0.0,0.0,0.0,0.0
1634885785389,0.4481,0.7435,0.3262,-4.23,-15.61,-1.53,0.0,0.0,0.0,0.0
1634885785422,0.4869,0.7814,0.326,-4.92,-22.3,-10.44,0.0,0.0,0.0,0.0
1634885785455,0.5067,0.7972,0.3309,-6.8,-26.3,-18.87,0.0,0.0,0.0,0.0
1634885785488,0.5306,0.7765,0.3243,-7.16,-31.24,-22.28,0.0,0.0,0.0,0.0
1634885785521,0.5687,0.7528,0.3191,-5.86,-34.11,-21.97,0.0,0.0,0.0,0.0
1634885785554,0.5264,0.7477,0.3162,-5.67,-37.08,-25.25,0.0,0.0,0.0,0.0
1634885785587,0.5806,0.7516,0.2957,-4.52,-35.26,-27.83,0.0,0.0,0.0,0.0
1634885785620,0.6104,0.7731,0.3108,-4.25,-45.34,-34.72,0.0,0.0,0.0,0.0
1634885785653,0.6143,0.7968,0.2962,-3.76,-55.82,-40.86,0.0,0.0,0.0,0.0
1634885785686,0.616,0.8214,0.3824,-10.99,-84.02,-39.67,0.0,0.0,0.0,0.0
1634885785719,0.6934,0.8302,0.3687,-27.83,-118.59,-28.11,0.0,0.0,0.0,0.0
1634885785752,0.6829,0.8131,0.2532,-31.67,-58.39,-22.95,0.0,0.0,0.0,0.0
1634885785785,0.5853,0.8043,0.2278,-26.99,-16.1,-20.86,0.0,0.0,0.0,0.0
1634885785818,0.5272,0.8219,0.219,-26.11,-18.63,-20.09,0.0,0.0,0.0,0.0
1634885785851,0.4823,0.8285,0.2212,-30.05,-33.49,-23.71,0.0,0.0,0.0,0.0
1634885785884,0.4972,0.8329,0.1871,-33.74,-55.49,-27.56,0.0,0.0,0.0,0.0
1634885785917,0.5208,0.8309,0.1978,-37.82,-67.34,-30.75,0.0,0.0,0.0,0.0
1634885785950,0.5081,0.8034,0.2063,-42.06,-76.14,-33.27,0.0,0.0,0.0,0.0
1634885785983,0.493,0.8632,0.1714,-42.55,-93.29,-41.18,0.0,0.0,0.0,0.0
1634885786016,0.5338,0.8988,0.1773,-42.99,-106.51,-50.26,0.0,0.0,0.0,0.0
1634885786049,0.5118,0.8512,0.1914,-38.44,-100.89,-54.89,0.0,0.0,0.0,0.0
1634885786082,0.4591,0.82,0.2022,-27.63,-89.37,-51.36,0.0,0.0,0.0,0.0
1634885786115,0.4425,0.8507,0.2161,-23.21,-91.24,-43.54,0.0,0.0,0.0,0.0
1634885786148,0.5369,0.9142,0.2203,-27.53,-72.79,-33.38,0.0,0.0,0.0,0.0
1634885786181,0.4535,0.9183,0.2032,-28.58,-47.35,-28.38,0.0,0.0,0.0,0.0
1634885786214,0.3787,0.9078,0.2415,-28.99,-51.32,-22.66,0.0,0.0,0.0,0.0
1634885786247,0.3595,0.9081,0.2525,-29.53,-59.72,-16.41,0.0,0.0,0.0,0.0
1634885786280,0.3585,0.9159,0.264,-29.86,-57.7,-12.95,0.0,0.0,0.0,0.0
1634885786313,0.368,0.9525,0.3179,-32.73,-50.11,-9.15,0.0,0.0,0.0,0.0
1634885786346,0.3787,0.9847,0.3968,-38.02,-44.25,-1.96,0.0,0.0,0.0,0.0
1634885786379,0.3289,0.9633,0.4214,-40.57,-61.93,7.47,0.0,0.0,0.0,0.0
1634885786412,0.4376,0.9762,0.5081,-58.2,-87.99,19.64,0.0,0.0,0.0,0.0
